ACRES,POP_2010,POP_2000,Manure_P_kg_ha,P_Ag_Buffered,RNAT45,PDEV,PFOR,PWETL,Ag_P_Runoff,Ag_P_Erosion,Ag_Tile_SSF,PIUCN_IA,PIUCN_IB,Ag_P_balance_kg_ha
21926.09,21571,18975,2.506117282,73.83313886,71.172821,32,50.2210922,0.3482328,1.674323435,0.053146351,0,0,0,2.569524387
8369.69,1,0,0,94.33962264,95.0457916,9,63.9067192,8.7425117,1.243137139,0.035144727,0,0,0,0
17645.09,9029,6698,1.379109699,93.77306273,85.8857422,30,48.3458786,8.6316938,1.56999959,0.038144055,0,0,0,1.369290635
18185.56,9859,6948,1.299605172,95.53044358,89.766922,20,47.1084709,12.4563923,2.375448189,0.03771402,0,0,0,1.198961643
10095.21,670,642,1.520436227,89.61748634,93.9363632,5,76.6591644,0.2449034,1.209542256,0.053041031,0,0,0,1.572804109
18504.38,8279,7777,5.372982192,89.2826087,86.4121246,17,32.3159485,21.6569195,11.73652952,0.099906553,0,0,0,6.545681894
11369.83,1728,1258,3.682460078,85.45255402,88.5289536,8,33.6166344,29.2643394,6.539800644,0.075882927,0,0,0,3.683681347
10613.09,1793,1594,4.980093905,75.67508711,83.0636978,9,59.5320587,0.0276261,2.917763237,0.104551821,0,0,0,5.106094926
24970.81,1528,1626,5.232985446,77.03464948,76.4266357,6,58.5647316,0.2018488,3.448681255,0.131471481,0,0,0,5.389361821
28498.05,3748,3475,3.957885587,92.87650894,89.2617798,8,39.2278862,18.860527,6.842376548,0.082526256,0,0,0,3.48439153
18164.04,2011,1889,0.007027542,98.4186747,95.4558105,13,25.6690273,43.2584496,1.412386013,0.023644828,0,0,0,0.493211892
13902.85,431,484,4.306320945,88.79726705,91.1386108,4,34.8942642,40.7625771,3.935253806,0.049186623,0,0,0,4.795198782
21852.34,1380,1350,4.925574921,80.7373721,78.8626328,7,55.5476913,0.3691967,2.758823784,0.110280449,0,0,0,5.056940511
18878.71,8831,9039,0.574785092,81.78224937,69.5770493,35,42.9896545,0.3108154,2.181492577,0.03575679,0,0,0,1.821379006
21411.83,464,517,3.361396807,89.73642745,92.5225601,3,29.0059185,47.4999733,9.757294927,0.109301975,0,0,0,3.578578369
17795.95,8751,8424,5.030635792,75.73866001,70.2757034,24,43.5298386,0.1072095,2.018996698,0.037463206,0,0,0,5.446107914
24312.16,7387,4900,2.557490707,90.61685028,91.4835434,13,40.7752495,17.4578762,5.485639564,0.059795578,0,0,0,2.251530207
13523.48,17662,24495,0.363974113,76.47720878,66.8413467,52,31.8592701,9.6392508,1.022927683,0.020381657,0,0,0,0.364094823
31010.96,5245,4745,1.491697156,82.78079164,88.162178,9,67.9036789,4.3726344,1.098216963,0.013701589,0,0,0,1.549766672
16578.09,946,881,4.049152188,74.56051728,79.0709229,5,56.2770615,1.1604766,1.876573739,0.060001044,0,0,0,4.188615797
35250.11,874,732,3.278139954,86.31861675,89.5322647,3,27.1937599,51.3603401,6.313122029,0.071148617,0,0,0,3.648624711
17856.11,7886,6269,6.642074855,87.28706625,71.2685089,15,21.724659,14.0758953,11.66506319,0.1628055,0,0,0,5.847462958
10835.03,14460,12689,0.195167952,83.97600686,77.7247849,33,47.768692,9.5956659,2.823960472,0.033589459,0,0,0,0.195232678
30939.49,2783,2761,5.208281096,76.47713054,77.9123993,7,60.1815186,1.0190567,2.060535025,0.09123059,0,0,0,5.252600997
8584.6,1654,1465,6.108299309,82.05574913,80.9777756,9,55.8276787,0.4835816,1.693631767,0.04694939,0,0,0,6.26284498
27252.96,9238,8510,5.424865399,64.34608475,62.3532104,18,19.5345516,29.073288,8.280342434,0.098419777,0,0,0,5.426664528
11938.72,3583,3604,4.141371501,87.77453433,82.1481171,15,28.7964115,18.4363842,10.23180458,0.129725751,0,0,0,3.645926458
11194.72,778,558,4.247479784,76.59386068,80.6387787,7,61.7467117,0.2159395,2.841275891,0.163880241,0,0,0,4.393774326
26154.06,1630,1460,2.554916293,90.63180828,95.1903152,5,73.2784958,1.26201,2.087603016,0.107945017,0,0,0,2.541756009
14483.62,1360,1365,1.37727068,79.90792502,91.8833313,7,73.8868484,2.1462862,1.337374484,0.016186975,0,0,0,1.426020622
12933.98,15952,12887,1.129000422,86.20367487,66.815033,44,41.6215172,1.9905492,1.028922106,0.024012497,0,0,0,1.172952161
19631.24,2163,1747,5.888718707,93.27873918,92.4070587,7,27.3708496,43.7940636,9.932021653,0.083592344,0,0,0,6.557239262
19162.71,1764,1585,4.09660726,76.04146294,75.6116791,8,58.9620705,0.3917591,2.54454599,0.123899233,0,0,0,4.237705348
12657,51,431,0.368289898,95.30154278,96.6696396,6,63.5956001,11.2697935,0.986830516,0.022495342,0,0,0,0.342405521
11039.26,1067,1031,5.124770641,66.44144144,70.6080704,8,51.8951797,0.9240289,2.311423494,0.098307162,0,0,0,5.422784048
8780.15,2247,2510,3.815352633,84.24796748,85.2761536,13,68.5459137,0.1370106,1.49901407,0.082529439,0,0,0,3.788187865
27241.89,4489,3416,2.740844403,96.29692399,88.7055435,10,47.3869591,16.6498947,3.452406265,0.072147168,0,0,0,2.647090626
25493.27,4676,3855,4.660673173,91.55001088,84.4073563,9,47.6024857,6.5350866,3.367127181,0.058934634,0,0,0,4.252248186
29460.25,1500,1564,0.096535269,97.49791493,94.111908,11,63.7696724,10.8701572,2.185981794,0.039353035,0,0,0,0.117604923
28495.77,3171,2886,2.325889086,91.1971831,90.0036697,9,64.1372757,3.7006402,1.858734538,0.066196234,0,0,0,2.309329087
21347.48,6145,2744,0.240688006,86.96943039,87.9175949,11,65.6731644,1.9555829,2.178566277,0.043700188,0,0,0,0.609852456
12808.54,8066,7968,2.258031258,95.17219182,86.3045502,35,36.8497391,13.4748383,1.63260937,0.03555022,0,0,0,2.241954397
22732.72,74392,74277,0.348356148,61.37309293,54.952076,69,17.2224579,8.9087448,0.853034045,0.01184929,0,0,0,0.348471679
11019.24,330,271,0.323456102,98.48812095,96.658783,7,56.357605,11.3860283,1.37185841,0.040763817,0,0,0,0.322251158
7918.78,2435,2165,5.62158127,91.52326863,85.2935715,14,25.362608,16.1367378,12.02413727,0.146689556,0,0,0,4.949054168
29410.76,29366,23103,5.228376453,77.27670753,75.2189255,30,19.8295746,20.9923935,10.76747749,0.103013963,0,0,0,7.28546638
16930.03,15124,12801,6.36475742,76.90832374,54.681942,40,29.2490063,0.1288201,1.273064386,0.032521549,0,0,0,6.689359442
24194.7,3100,2863,5.590572988,83.67789952,83.774437,7,58.4699097,0.2545538,2.565006635,0.08451608,0,0,0,5.732019699
26480.89,3584,2969,26.52683775,91.62481219,86.3275223,8,22.2773895,25.5059986,21.19041125,0.286432885,0,0,0,25.01359301
14686.53,690,644,25.88285178,75.36024581,73.8779907,5,25.7646751,29.7378044,10.79436639,0.149136065,0,0,0,24.12963132
18622.34,995,916,47.5824543,68.54759107,60.5847473,5,20.206707,15.5617905,33.92404656,0.320253552,0,0,0,44.51151337
26124.81,5619,5392,42.95259575,82.11203086,69.2905731,13,9.8882179,24.4087543,18.61821426,0.412248825,0,0,0,40.15163372
11169.94,1175,1370,23.16636139,83.61687649,84.4307632,7,27.8645306,29.521946,5.006679334,0.16804586,0,0,0,21.67121936
16515.95,1871,1752,4.98494035,79.4944053,82.223671,6,46.1426163,15.764719,9.124692091,0.093507775,0,0,0,6.455874676
19720.57,2395,2199,44.93865031,71.28532821,68.7370224,7,19.7929878,19.5619678,17.92047624,0.356544777,0,0,0,42.01907415
30510.34,2824,2667,49.71578487,80.02090683,67.1799774,7,16.8342457,19.9559784,28.29612855,0.406607723,0,0,0,46.50716016
34295.07,1814,1670,0.547486185,95.35540562,95.6860809,3,35.6751404,39.2099304,1.804728414,0.02948594,0,0,0,1.609173048
19500.72,49,106,,88.15789474,100,35,3.2218091,0.8983891,0,0,0,0.001455753,0,
22435.23,2182,2024,51.39104995,67.48458758,54.1934547,9,16.945116,15.6141348,27.92275669,0.41408883,0,0,0,47.97744388
25484.14,4043,3500,0.349480363,93.68015414,95.5864639,16,15.8996582,57.570507,0.878518068,0.009579736,0,23.07805494,0,1.027193737
23578.09,1939,1762,48.98467578,73.43090171,77.6280136,6,19.9277878,22.5206356,28.07497144,0.324163531,0,0,0,45.82323637
